bj-pays,das,decks,don,hitSplitAces,peek,reSplitAces,sas,ss17,surr,csm_theoretical,csm_empiric,cut_theoretical,cut_empiric,csm_error,cut_card_error,abs_error_sum
1.2,False,6,Any,False,False,False,2,False,2-10,2.1698,-2.0112,2.1898,-2.0407,0.1587,0.1491,0.3078
1.2,False,6,10-11,False,False,True,2,False,2-10,2.3512,-2.1942,2.3712,-2.2206,0.157,0.1506,0.3076
1.2,True,6,9-11,False,False,False,2,False,2-10,2.152,-1.9933,2.172,-2.0231,0.1587,0.1489,0.3076
1.5,False,2,10-11,False,False,False,4,True,2-10,0.5916,-0.4327,0.6546,-0.5062,0.159,0.1484,0.3074
1.5,True,6,9-11,False,False,False,4,False,2-10,0.7414,-0.5869,0.7614,-0.6089,0.1546,0.1525,0.3071
1.5,True,2,9-11,True,False,False,3,True,2-10,0.2074,-0.0481,0.2703,-0.1226,0.1592,0.1477,0.3069
1.2,False,6,9-11,False,False,True,2,False,2-10,2.2683,-2.1117,2.2883,-2.1383,0.1566,0.15,0.3066
1.5,True,2,Any,True,False,True,3,True,2-10,0.0492,0.1135,0.1122,0.0315,0.1627,0.1437,0.3064
1.5,True,2,9-11,True,False,True,2,True,2-10,0.2443,-0.0845,0.3073,-0.1609,0.1598,0.1464,0.3062
1.2,False,6,10-11,False,False,True,3,False,2-10,2.2713,-2.116,2.2913,-2.1407,0.1553,0.1507,0.306
1.5,False,2,9-11,True,False,False,4,True,2-10,0.3352,-0.1778,0.3982,-0.2497,0.1574,0.1485,0.3059
1.5,True,6,Any,False,False,False,3,False,2-10,0.6437,-0.4864,0.6637,-0.5151,0.1573,0.1485,0.30579999999999996
1.5,True,2,Any,True,False,True,2,True,2-10,0.125,0.0317,0.188,-0.039,0.1567,0.149,0.30569999999999997
1.5,False,6,Any,False,False,True,3,False,2-10,0.7303,-0.5772,0.7503,-0.598,0.1531,0.1523,0.3054
1.5,False,6,10-11,False,False,False,2,False,2-10,0.9915,-0.8381,1.0115,-0.8596,0.1534,0.1519,0.3053
1.2,True,6,10-11,False,False,False,2,False,2-10,2.2449,-2.0901,2.2649,-2.115,0.1548,0.1499,0.30469999999999997
1.5,True,6,9-11,False,False,True,2,False,2-10,0.7923,-0.6391,0.8123,-0.6614,0.1532,0.1509,0.30410000000000004
1.5,True,6,10-11,True,False,False,4,False,2-10,0.6661,-0.5089,0.6861,-0.5398,0.1573,0.1463,0.3036
1.2,False,6,10-11,False,False,False,4,False,2-10,2.3192,-2.1608,2.3392,-2.1943,0.1584,0.1449,0.3033
1.2,False,2,10-11,False,False,True,2,False,2-10,2.1926,-2.0383,2.2556,-2.1066,0.1543,0.149,0.3033
1.5,True,6,Any,False,False,True,4,False,2-10,0.5726,-0.4154,0.5926,-0.4467,0.1572,0.1459,0.30310000000000004
1.2,True,6,9-11,False,False,True,3,False,2-10,2.0562,-1.902,2.0762,-1.9273,0.1541,0.1489,0.303
1.2,True,6,Any,True,False,True,4,False,2-10,1.7631,-1.6079,1.7831,-1.6362,0.1553,0.1469,0.3022
1.5,True,6,9-11,False,False,True,3,False,2-10,0.6965,-0.5437,0.7165,-0.5673,0.1528,0.1491,0.3019
1.5,False,6,Any,True,False,False,2,False,2-10,0.6403,-0.4827,0.6603,-0.5162,0.1576,0.1441,0.30169999999999997
1.5,False,6,Any,True,False,True,2,False,2-10,0.6403,-0.4866,0.6603,-0.5123,0.1537,0.148,0.30169999999999997
1.5,False,6,9-11,True,False,True,3,False,2-10,0.6665,-0.5139,0.6865,-0.5383,0.1526,0.1482,0.3008
1.5,False,6,10-11,True,False,False,4,False,2-10,0.7897,-0.6352,0.8097,-0.6634,0.1545,0.1463,0.3008
1.5,True,6,10-11,True,False,True,3,False,2-10,0.6286,-0.4745,0.6486,-0.5018,0.1541,0.1467,0.30079999999999996
1.2,False,2,9-11,True,False,False,4,False,2-10,1.9131,-1.7553,1.9761,-1.8334,0.1578,0.1428,0.3006
1.2,False,6,9-11,True,False,True,4,False,2-10,2.013,-1.8601,2.033,-1.8853,0.1529,0.1477,0.3006
1.2,True,2,9-11,False,False,True,2,False,2-10,1.9733,-1.8194,2.0363,-1.8896,0.1539,0.1467,0.3006
1.5,False,6,Any,True,False,True,3,False,2-10,0.5681,-0.4099,0.5881,-0.4458,0.1581,0.1422,0.3003
1.5,True,6,10-11,True,False,False,3,False,2-10,0.6739,-0.5211,0.6939,-0.5465,0.1528,0.1474,0.3002
1.2,True,6,10-11,True,False,False,4,False,2-10,2.0258,-1.8727,2.0458,-1.8991,0.1531,0.1467,0.2998
1.2,False,6,Any,True,False,False,3,False,2-10,1.9731,-1.8223,1.9931,-1.8441,0.1508,0.149,0.29979999999999996
1.2,False,6,10-11,True,False,True,4,False,2-10,2.096,-1.9441,2.116,-1.9682,0.1519,0.1478,0.29969999999999997
1.2,True,2,9-11,True,False,False,2,False,2-10,1.8205,-1.6648,1.8835,-1.7399,0.1558,0.1437,0.2995
1.2,False,2,9-11,False,False,True,4,False,2-10,2.0158,-1.858,2.0787,-1.9372,0.1577,0.1416,0.2993
1.2,False,6,Any,True,False,False,4,False,2-10,1.968,-1.818,1.988,-1.8387,0.15,0.1493,0.2993
1.5,True,6,Any,True,False,False,4,False,2-10,0.458,-0.3035,0.478,-0.3332,0.1545,0.1448,0.2993
1.2,True,2,9-11,False,False,False,4,False,2-10,1.9311,-1.7743,1.9941,-1.8519,0.1568,0.1422,0.299
1.2,False,6,Any,True,False,False,2,False,2-10,2.0,-1.8433,2.02,-1.8782,0.1567,0.1418,0.2985
1.5,False,6,Any,True,False,False,4,False,2-10,0.6083,-0.4526,0.6283,-0.4858,0.1557,0.1425,0.2982
1.2,False,2,10-11,False,False,True,3,False,2-10,2.126,-1.9716,2.189,-2.0454,0.1544,0.1436,0.29800000000000004
1.2,False,6,10-11,True,False,True,2,False,2-10,2.1814,-2.0318,2.2014,-2.0529,0.1496,0.1484,0.29800000000000004
1.2,True,6,9-11,True,False,False,3,False,2-10,1.9393,-1.7893,1.9593,-1.8114,0.15,0.1479,0.2979
1.2,False,6,9-11,True,False,False,4,False,2-10,2.0664,-1.9121,2.0864,-1.9434,0.1543,0.143,0.2973
1.2,False,6,Any,True,False,True,4,False,2-10,1.9146,-1.7601,1.9346,-1.792,0.1545,0.1426,0.29710000000000003
1.5,True,2,10-11,False,False,True,2,False,2-10,0.7124,-0.5571,0.7753,-0.6335,0.1552,0.1419,0.29710000000000003
1.2,True,2,Any,False,False,True,4,False,2-10,1.7586,-1.6048,1.8216,-1.6786,0.1538,0.143,0.29679999999999995
1.2,False,1,10-11,False,False,True,3,True,2-10,1.7137,-1.5558,1.8267,-1.6885,0.158,0.1382,0.2962
